Eclo_VC_600-1 	 76.39 	 Enterobacter  
Eclo_VC_79371 	 70.28 	 Enterobacter  
Ecol_VC_312-2 	 61.17 	 Escherichia  
Ecol_VC_490-1 	 60.01 	 Escherichia  
Kaer_VC_72242 	 72.14 	 Klebsiella  
Kpne_VC_01561 	 85.43 	 Klebsiella  
Kpne_VC_11528 	 84.32 	 Klebsiella  
Kpne_VC_175-1 	 80.83 	 Klebsiella  
Kpne_VC_22077 	 82.88 	 Klebsiella  
Kpne_VC_629-2 	 86.15 	 Klebsiella  
Kpne_VC_62984 	 84.47 	 Klebsiella  
Kpne_VC_74520 	 86.33 	 Klebsiella  
Kpne_VC_79372 	 81.82 	 Klebsiella  
Kpne_VC_86478 	 80.04 	 Klebsiella  
Kpne_VC_86523 	 85.62 	 Klebsiella  
Kpne_VC_86855 	 59.84 	 Klebsiella  
Kpne_VC_89440 	 86.64 	 Klebsiella  
Kpne_VC_94648 	 83.14 	 Klebsiella  
Kpne_VC_94881 	 81.27 	 Klebsiella  
